loan_id,customer_id,loan_type,principal,interest_rate,tenure_months,loan_status
LN003850,CUST000071,EDUCATION,4531716.4,10.96,24,CLOSED
LN003851,CUST079528,PERSONAL,4744155.63,13.25,240,DEFAULT
LN003852,CUST005109,PERSONAL,5758266.02,14.56,60,CLOSED
LN003853,CUST082070,PERSONAL,1309534.62,10.16,12,CLOSED
LN003854,CUST062402,HOME,4385702.43,12.49,12,CLOSED
LN003855,CUST076605,PERSONAL,9277977.44,14.22,12,ACTIVE
LN003856,CUST077831,HOME,8236717.72,10.3,120,CLOSED
LN003857,CUST086297,PERSONAL,3908944.06,12.52,60,ACTIVE
LN003858,CUST074068,HOME,6236609.51,8.79,60,ACTIVE
LN003859,CUST010486,PERSONAL,1590083.23,14.24,24,ACTIVE
LN003860,CUST063559,AUTO,3973614.6,14.12,36,CLOSED
LN003861,CUST080847,AUTO,7642747.93,10.5,12,ACTIVE
LN003862,CUST084910,HOME,9542866.64,10.14,60,ACTIVE
LN003863,CUST060031,HOME,9842089.29,7.21,240,ACTIVE
LN003864,CUST095594,EDUCATION,5415948.78,12.77,60,CLOSED
LN003865,CUST006126,AUTO,9305485.8,9.85,12,CLOSED
LN003866,CUST042739,PERSONAL,2120813.9,7.71,120,DEFAULT
LN003867,CUST009224,HOME,5343625.67,12.99,240,DEFAULT
LN003868,CUST022263,PERSONAL,3127395.97,14.64,60,DEFAULT
LN003869,CUST034992,AUTO,574977.57,10.83,12,DEFAULT
LN003870,CUST078341,EDUCATION,6158292.27,12.1,120,CLOSED
LN003871,CUST031350,PERSONAL,1629374.24,14.41,240,ACTIVE
LN003872,CUST002440,HOME,5017336.51,8.35,240,ACTIVE
LN003873,CUST007082,HOME,3777911.71,12.7,60,CLOSED
LN003874,CUST051910,AUTO,8627204.42,14.94,12,ACTIVE
LN003875,CUST059736,AUTO,6904207.61,13.66,60,ACTIVE
LN003876,CUST098406,PERSONAL,5473844.56,8.18,36,ACTIVE
LN003877,CUST096030,PERSONAL,6075506.78,13.2,120,ACTIVE
LN003878,CUST040845,AUTO,4648789.86,12.83,24,ACTIVE
LN003879,CUST062533,EDUCATION,9861005.52,13.34,60,CLOSED
LN003880,CUST039572,EDUCATION,8330995.17,10.96,36,ACTIVE
LN003881,CUST099076,AUTO,6640299.73,7.65,36,DEFAULT
LN003882,CUST084614,PERSONAL,3810855.15,13.85,36,DEFAULT
LN003883,CUST088988,EDUCATION,5485071.51,8.78,120,CLOSED
LN003884,CUST026710,PERSONAL,6816649.93,7.4,12,DEFAULT
LN003885,CUST018480,EDUCATION,1756022.13,8.65,36,ACTIVE
LN003886,CUST075736,EDUCATION,3524373.35,7.87,24,ACTIVE
LN003887,CUST038980,EDUCATION,9996527.68,9.27,24,ACTIVE
LN003888,CUST014635,EDUCATION,8568880.12,13.25,120,CLOSED
LN003889,CUST027321,HOME,3211993.0,8.09,24,ACTIVE
LN003890,CUST043658,HOME,1212203.94,10.65,36,DEFAULT
LN003891,CUST053439,EDUCATION,6907440.61,10.89,60,DEFAULT
LN003892,CUST008934,PERSONAL,747586.12,14.45,60,DEFAULT
LN003893,CUST089560,PERSONAL,435131.37,12.4,120,CLOSED
LN003894,CUST050145,AUTO,9072335.61,13.96,240,CLOSED
LN003895,CUST064396,AUTO,7829799.83,12.07,240,DEFAULT
LN003896,CUST044481,EDUCATION,1774839.64,10.88,12,ACTIVE
LN003897,CUST096640,AUTO,6289310.35,14.42,12,ACTIVE
LN003898,CUST039052,PERSONAL,4873265.63,14.19,12,CLOSED
LN003899,CUST090868,HOME,331774.49,7.74,24,ACTIVE
LN003900,CUST080478,AUTO,7291989.48,11.6,24,CLOSED
LN003901,CUST029450,HOME,317950.73,13.92,12,CLOSED
LN003902,CUST085342,HOME,866995.56,11.41,60,DEFAULT
LN003903,CUST055271,AUTO,2937842.24,9.92,120,CLOSED
LN003904,CUST015382,PERSONAL,4408073.86,10.49,36,ACTIVE
LN003905,CUST032590,EDUCATION,118974.42,11.67,60,ACTIVE
LN003906,CUST023289,HOME,6157603.35,10.55,24,CLOSED
LN003907,CUST019793,PERSONAL,7364615.38,14.74,60,DEFAULT
LN003908,CUST023632,HOME,1198856.52,8.62,60,DEFAULT
LN003909,CUST053262,AUTO,7441536.23,12.77,24,DEFAULT
LN003910,CUST081945,EDUCATION,7093219.58,13.82,12,ACTIVE
LN003911,CUST022224,EDUCATION,4886092.38,8.55,36,DEFAULT
LN003912,CUST015424,HOME,1427875.43,11.49,12,ACTIVE
LN003913,CUST084030,PERSONAL,6968257.68,7.07,24,DEFAULT
LN003914,CUST032802,EDUCATION,3643347.61,10.58,12,DEFAULT
LN003915,CUST050864,EDUCATION,6215733.02,12.6,120,CLOSED
LN003916,CUST081581,AUTO,5823615.77,11.86,60,CLOSED
LN003917,CUST065200,HOME,4237141.69,9.75,60,DEFAULT
LN003918,CUST074723,HOME,9950716.53,8.51,36,DEFAULT
LN003919,CUST058620,HOME,7678373.21,14.02,36,DEFAULT
LN003920,CUST003437,AUTO,8000517.84,8.14,60,CLOSED
LN003921,CUST083868,PERSONAL,5108778.76,9.33,12,ACTIVE
LN003922,CUST067814,EDUCATION,5075709.93,7.4,24,CLOSED
LN003923,CUST009784,AUTO,1251640.65,12.39,24,CLOSED
LN003924,CUST023649,HOME,2731989.0,10.55,60,DEFAULT
LN003925,CUST076243,HOME,648856.75,10.3,240,CLOSED
LN003926,CUST017408,AUTO,4063634.05,14.28,12,CLOSED
LN003927,CUST020868,HOME,8629848.07,10.41,12,ACTIVE
LN003928,CUST092053,HOME,5053581.99,12.01,240,CLOSED
LN003929,CUST028812,HOME,3479245.37,10.79,240,DEFAULT
LN003930,CUST045108,PERSONAL,2532534.99,14.81,60,DEFAULT
LN003931,CUST050125,EDUCATION,6424406.32,7.43,240,ACTIVE
LN003932,CUST064553,HOME,2104580.17,9.02,36,CLOSED
LN003933,CUST038063,AUTO,2071862.67,12.81,36,CLOSED
LN003934,CUST070159,HOME,5946040.65,12.92,60,DEFAULT
LN003935,CUST011472,EDUCATION,2114445.85,7.79,12,ACTIVE
LN003936,CUST039730,PERSONAL,7409911.38,11.01,240,DEFAULT
LN003937,CUST024063,AUTO,9036187.12,10.2,240,DEFAULT
LN003938,CUST032452,EDUCATION,1832301.92,14.77,60,ACTIVE
LN003939,CUST028381,HOME,4245925.16,14.74,24,CLOSED
LN003940,CUST035673,AUTO,6204946.03,12.33,12,DEFAULT
LN003941,CUST000810,PERSONAL,9615623.54,14.62,120,DEFAULT
LN003942,CUST077063,EDUCATION,8011423.84,13.2,24,CLOSED
LN003943,CUST026144,AUTO,3605465.85,14.16,240,DEFAULT
LN003944,CUST058409,AUTO,4686277.85,10.34,12,ACTIVE
LN003945,CUST071362,HOME,1797211.38,13.13,60,CLOSED
LN003946,CUST027915,AUTO,9678560.22,10.25,24,ACTIVE
LN003947,CUST007905,EDUCATION,9488740.79,10.56,24,CLOSED
LN003948,CUST040395,EDUCATION,8403940.3,9.45,12,DEFAULT
LN003949,CUST028144,HOME,697103.73,10.04,12,ACTIVE
LN003950,CUST070612,PERSONAL,2925092.72,9.34,60,DEFAULT
LN003951,CUST037402,HOME,4384573.87,10.59,120,ACTIVE
LN003952,CUST058425,PERSONAL,6371619.04,10.54,240,DEFAULT
LN003953,CUST096262,HOME,2495322.26,10.13,120,ACTIVE
LN003954,CUST003627,EDUCATION,7850149.26,10.79,12,DEFAULT
LN003955,CUST005393,PERSONAL,1819597.12,13.26,36,ACTIVE
LN003956,CUST074152,PERSONAL,1791260.13,9.15,120,CLOSED
LN003957,CUST075688,AUTO,7220182.48,13.48,36,DEFAULT
LN003958,CUST019049,EDUCATION,7791075.0,12.66,120,CLOSED
LN003959,CUST058431,HOME,1824343.62,8.39,12,DEFAULT
LN003960,CUST020267,HOME,4847362.6,14.81,36,ACTIVE
LN003961,CUST023037,AUTO,9939475.6,7.25,36,DEFAULT
LN003962,CUST024448,HOME,3739772.21,10.57,120,DEFAULT
LN003963,CUST046011,PERSONAL,7247790.72,10.64,240,ACTIVE
LN003964,CUST033219,EDUCATION,7326910.7,14.49,60,CLOSED
LN003965,CUST022088,PERSONAL,1738232.53,9.33,36,CLOSED
LN003966,CUST074990,AUTO,8456435.96,12.76,240,ACTIVE
LN003967,CUST083830,EDUCATION,5844545.7,7.45,36,DEFAULT
LN003968,CUST068002,HOME,5322348.3,8.66,36,CLOSED
LN003969,CUST047520,EDUCATION,8243662.73,9.92,36,CLOSED
LN003970,CUST035585,EDUCATION,2312229.86,11.68,36,ACTIVE
LN003971,CUST053999,PERSONAL,4208524.09,14.14,240,DEFAULT
LN003972,CUST052816,HOME,7995527.74,13.57,240,ACTIVE
LN003973,CUST097191,PERSONAL,3845904.0,14.37,12,DEFAULT
LN003974,CUST093884,HOME,7693931.2,12.72,120,ACTIVE
LN003975,CUST093259,AUTO,8296162.27,10.0,120,CLOSED
LN003976,CUST064202,PERSONAL,5645265.88,14.67,12,CLOSED
LN003977,CUST047396,AUTO,4474033.24,14.34,240,DEFAULT
LN003978,CUST097578,HOME,4944547.91,8.65,12,ACTIVE
LN003979,CUST090460,EDUCATION,3110257.13,12.28,60,DEFAULT
LN003980,CUST082419,PERSONAL,5063905.7,12.97,36,DEFAULT
LN003981,CUST035896,HOME,1001336.29,11.43,12,DEFAULT
LN003982,CUST022752,EDUCATION,2459640.69,9.25,36,DEFAULT
LN003983,CUST042613,EDUCATION,2377663.24,8.67,60,CLOSED
LN003984,CUST001774,EDUCATION,6474407.6,7.43,12,DEFAULT
LN003985,CUST042676,AUTO,2527338.99,8.32,36,ACTIVE
LN003986,CUST083916,EDUCATION,1231831.15,7.51,12,DEFAULT
LN003987,CUST004633,PERSONAL,193279.63,14.72,60,ACTIVE
LN003988,CUST032777,AUTO,6791627.24,14.28,36,CLOSED
LN003989,CUST003154,EDUCATION,9529659.22,10.78,240,CLOSED
LN003990,CUST011688,EDUCATION,9465020.61,13.31,60,ACTIVE
LN003991,CUST040492,HOME,2863077.92,8.41,36,ACTIVE
LN003992,CUST022170,AUTO,7663106.97,10.24,24,CLOSED
LN003993,CUST037179,HOME,4059306.84,10.85,60,DEFAULT
LN003994,CUST098082,HOME,3292440.88,7.12,24,ACTIVE
LN003995,CUST018712,HOME,8452765.24,14.06,60,CLOSED
LN003996,CUST064401,HOME,2673595.39,14.16,36,CLOSED
LN003997,CUST084193,HOME,8226255.41,7.38,120,CLOSED
LN003998,CUST022675,AUTO,6743469.86,14.37,240,DEFAULT
LN003999,CUST055801,EDUCATION,358042.93,13.38,12,CLOSED
LN004000,CUST071777,PERSONAL,1818691.99,10.99,240,CLOSED
LN004001,CUST018522,HOME,1703002.29,11.73,240,CLOSED
LN004002,CUST057838,HOME,6359291.6,7.54,120,ACTIVE
LN004003,CUST056319,AUTO,7409304.96,12.92,120,ACTIVE
LN004004,CUST016643,PERSONAL,2422711.81,11.76,24,DEFAULT
LN004005,CUST005485,HOME,3570803.32,12.12,36,ACTIVE
LN004006,CUST080666,EDUCATION,8794170.58,8.57,240,CLOSED
LN004007,CUST051349,PERSONAL,9866090.29,8.77,24,CLOSED
LN004008,CUST008162,EDUCATION,4185642.09,8.84,240,CLOSED
LN004009,CUST025094,AUTO,4170776.03,12.26,36,DEFAULT
LN004010,CUST058750,EDUCATION,4413712.79,11.05,36,DEFAULT
LN004011,CUST077200,PERSONAL,6610330.08,13.39,24,DEFAULT
LN004012,CUST011006,PERSONAL,255177.36,11.88,36,ACTIVE
LN004013,CUST034572,HOME,4642289.31,9.45,120,CLOSED
LN004014,CUST055898,EDUCATION,2868053.12,12.04,12,CLOSED
LN004015,CUST001261,AUTO,2278737.22,9.2,24,ACTIVE
LN004016,CUST082797,PERSONAL,1470232.87,13.91,120,DEFAULT
LN004017,CUST090569,PERSONAL,3323417.56,8.92,12,CLOSED
LN004018,CUST032856,AUTO,5473493.7,14.45,120,ACTIVE
LN004019,CUST033889,HOME,6026590.49,9.95,60,ACTIVE
LN004020,CUST083698,HOME,7157895.11,11.35,240,DEFAULT
LN004021,CUST071207,PERSONAL,593694.52,7.64,240,ACTIVE
LN004022,CUST057813,EDUCATION,1428851.41,13.35,36,ACTIVE
LN004023,CUST009437,HOME,2152734.17,8.38,60,CLOSED
LN004024,CUST099830,EDUCATION,4644177.76,10.29,24,DEFAULT
LN004025,CUST000295,PERSONAL,914125.51,14.17,36,CLOSED
LN004026,CUST073613,AUTO,6145110.82,12.82,12,CLOSED
LN004027,CUST070171,EDUCATION,58525.89,7.71,120,DEFAULT
LN004028,CUST036708,EDUCATION,6373274.55,9.67,12,ACTIVE
LN004029,CUST012141,EDUCATION,9594804.57,12.68,24,ACTIVE
LN004030,CUST074190,AUTO,9656441.22,12.12,240,ACTIVE
LN004031,CUST023118,HOME,473807.07,8.7,12,CLOSED
LN004032,CUST074014,HOME,5036054.56,12.02,24,CLOSED
LN004033,CUST097463,PERSONAL,6362419.26,7.29,60,CLOSED
LN004034,CUST019565,EDUCATION,7039116.23,11.77,36,ACTIVE
LN004035,CUST065271,AUTO,6725023.0,11.76,120,CLOSED
LN004036,CUST026237,PERSONAL,9859201.03,12.56,60,DEFAULT
LN004037,CUST059043,PERSONAL,5755364.01,13.74,240,CLOSED
LN004038,CUST001268,PERSONAL,3141007.01,9.59,240,ACTIVE
LN004039,CUST090746,AUTO,7999538.37,8.1,24,CLOSED
LN004040,CUST016890,AUTO,1181313.91,9.57,120,CLOSED
LN004041,CUST029640,EDUCATION,112804.45,8.75,120,ACTIVE
LN004042,CUST092845,HOME,6992525.71,9.39,120,DEFAULT
LN004043,CUST058219,PERSONAL,3128375.25,10.64,60,DEFAULT
LN004044,CUST073722,AUTO,7108538.13,15.0,12,CLOSED
LN004045,CUST072247,AUTO,1513741.6,13.56,120,ACTIVE
LN004046,CUST048582,PERSONAL,731303.93,8.98,12,CLOSED
LN004047,CUST071959,AUTO,9854231.33,11.73,240,ACTIVE
LN004048,CUST087632,EDUCATION,9730199.61,11.35,240,CLOSED
LN004049,CUST045200,AUTO,2439449.48,7.99,60,ACTIVE
LN004050,CUST027056,EDUCATION,8283720.59,11.65,60,CLOSED
LN004051,CUST073810,HOME,6512412.18,7.88,60,CLOSED
LN004052,CUST066394,PERSONAL,9571213.34,7.8,240,DEFAULT
LN004053,CUST080037,AUTO,3207941.29,14.97,12,ACTIVE
LN004054,CUST005910,PERSONAL,6046428.58,9.59,24,ACTIVE
LN004055,CUST078316,HOME,8373528.37,8.85,24,ACTIVE
LN004056,CUST040289,AUTO,2347471.74,12.8,120,DEFAULT
LN004057,CUST076908,PERSONAL,8177058.35,10.09,12,CLOSED
LN004058,CUST068194,HOME,5385488.49,8.33,12,DEFAULT
LN004059,CUST066401,HOME,6166864.52,7.07,60,CLOSED
LN004060,CUST009119,EDUCATION,9272982.56,13.27,120,ACTIVE
LN004061,CUST021469,AUTO,8344310.15,11.4,24,ACTIVE
LN004062,CUST035212,AUTO,346540.78,9.62,12,CLOSED
LN004063,CUST010753,EDUCATION,6076860.7,12.72,60,ACTIVE
LN004064,CUST054147,AUTO,5390302.95,9.53,60,CLOSED
LN004065,CUST055138,AUTO,8411977.67,11.27,12,CLOSED
LN004066,CUST040225,AUTO,7341481.4,8.97,60,DEFAULT
LN004067,CUST096421,PERSONAL,7442861.35,11.06,24,ACTIVE
LN004068,CUST066064,EDUCATION,390009.01,14.33,60,ACTIVE
LN004069,CUST069170,PERSONAL,8042937.64,10.14,24,DEFAULT
LN004070,CUST058289,HOME,9393708.46,12.7,240,DEFAULT
LN004071,CUST080614,EDUCATION,4233284.81,13.63,120,ACTIVE
LN004072,CUST014245,PERSONAL,1966862.83,9.63,12,ACTIVE
LN004073,CUST072543,EDUCATION,8401586.89,14.45,240,CLOSED
LN004074,CUST026680,PERSONAL,2905891.37,10.23,24,CLOSED
LN004075,CUST088734,EDUCATION,8648820.32,9.05,60,DEFAULT
LN004076,CUST094926,AUTO,6624746.19,7.15,240,DEFAULT
LN004077,CUST008372,HOME,3763437.28,7.24,36,CLOSED
LN004078,CUST012785,HOME,1483613.15,12.72,24,ACTIVE
LN004079,CUST027870,AUTO,2033553.51,9.46,36,CLOSED
LN004080,CUST015673,PERSONAL,1669408.49,13.84,60,ACTIVE
LN004081,CUST075415,HOME,4306670.33,11.41,12,CLOSED
LN004082,CUST073100,EDUCATION,4186456.49,10.54,240,ACTIVE
LN004083,CUST066725,EDUCATION,6749400.63,9.85,12,ACTIVE
LN004084,CUST050956,PERSONAL,8286174.88,10.39,60,ACTIVE
LN004085,CUST015306,PERSONAL,6748633.16,8.2,24,DEFAULT
LN004086,CUST092620,AUTO,6228284.24,13.73,120,CLOSED
LN004087,CUST094481,PERSONAL,2900306.57,7.85,240,DEFAULT
LN004088,CUST004909,EDUCATION,4636876.96,11.42,60,DEFAULT
LN004089,CUST043495,PERSONAL,5055417.62,9.88,36,ACTIVE
LN004090,CUST009140,EDUCATION,9876639.25,9.01,60,CLOSED
LN004091,CUST085352,PERSONAL,6538113.31,11.24,36,ACTIVE
LN004092,CUST042580,PERSONAL,549806.16,8.28,12,DEFAULT
LN004093,CUST041219,EDUCATION,6690389.85,8.89,240,DEFAULT
LN004094,CUST000278,HOME,4045730.73,7.44,36,DEFAULT
LN004095,CUST044790,PERSONAL,7364117.88,8.21,120,ACTIVE
LN004096,CUST078381,HOME,3598881.81,11.36,60,ACTIVE
LN004097,CUST059910,EDUCATION,3923274.63,11.73,36,ACTIVE
LN004098,CUST063968,HOME,1407664.28,8.73,240,CLOSED
LN004099,CUST043245,HOME,2394103.16,11.2,60,ACTIVE
LN004100,CUST053473,EDUCATION,3093546.12,14.87,60,CLOSED
LN004101,CUST064373,EDUCATION,1073386.29,14.47,60,CLOSED
LN004102,CUST021462,PERSONAL,6985574.98,9.53,60,CLOSED
LN004103,CUST029775,EDUCATION,6390343.0,13.24,120,ACTIVE
LN004104,CUST028355,HOME,8480650.09,12.64,240,ACTIVE
LN004105,CUST035120,HOME,1771856.95,10.47,12,CLOSED
LN004106,CUST014702,EDUCATION,285049.34,7.38,12,ACTIVE
LN004107,CUST084463,AUTO,8562031.15,7.55,24,CLOSED
LN004108,CUST082839,HOME,5611136.18,8.55,36,CLOSED
LN004109,CUST025464,AUTO,1507904.29,12.97,120,CLOSED
LN004110,CUST017493,EDUCATION,8434223.09,11.93,36,ACTIVE
LN004111,CUST069431,PERSONAL,5468138.11,8.99,240,ACTIVE
LN004112,CUST091272,PERSONAL,5764923.88,10.17,120,CLOSED
LN004113,CUST064609,PERSONAL,4167711.52,7.94,240,DEFAULT
LN004114,CUST069773,HOME,3687062.73,7.0,36,DEFAULT
LN004115,CUST093506,PERSONAL,7958435.5,12.11,60,ACTIVE
LN004116,CUST074638,AUTO,9635268.4,10.22,60,CLOSED
LN004117,CUST001040,HOME,9696447.26,13.74,36,ACTIVE
LN004118,CUST055576,HOME,9263912.08,8.42,60,DEFAULT
LN004119,CUST009870,EDUCATION,1621783.5,13.5,24,DEFAULT
LN004120,CUST043672,PERSONAL,6540166.85,12.75,36,ACTIVE
LN004121,CUST049741,HOME,55875.66,11.91,120,DEFAULT
LN004122,CUST081318,PERSONAL,5325046.93,13.48,36,DEFAULT
LN004123,CUST074711,PERSONAL,4225569.3,14.28,24,ACTIVE
LN004124,CUST075067,EDUCATION,3627601.7,14.44,60,DEFAULT
LN004125,CUST046578,PERSONAL,8724943.08,9.13,24,DEFAULT
LN004126,CUST004624,AUTO,8814944.32,8.01,240,CLOSED
LN004127,CUST080170,AUTO,7255849.2,7.3,36,DEFAULT
LN004128,CUST063248,EDUCATION,2371708.44,9.18,36,CLOSED
LN004129,CUST026175,EDUCATION,9914907.21,8.39,240,DEFAULT
LN004130,CUST010685,AUTO,4398295.46,10.31,12,CLOSED
LN004131,CUST047980,PERSONAL,7149084.07,13.11,60,ACTIVE
LN004132,CUST067946,PERSONAL,4375533.19,11.04,12,CLOSED
LN004133,CUST090845,AUTO,7428528.33,14.16,36,ACTIVE
LN004134,CUST082041,EDUCATION,2055288.49,11.66,240,DEFAULT
LN004135,CUST053455,PERSONAL,8410313.1,7.27,60,DEFAULT
LN004136,CUST095762,EDUCATION,4647436.07,12.34,12,DEFAULT
LN004137,CUST019989,PERSONAL,1881510.72,8.31,36,ACTIVE
LN004138,CUST010676,PERSONAL,7067136.49,9.76,240,ACTIVE
LN004139,CUST005926,HOME,4788902.73,13.79,60,CLOSED
LN004140,CUST031155,AUTO,167888.79,11.51,60,DEFAULT
LN004141,CUST011770,PERSONAL,5044060.16,13.54,60,DEFAULT
LN004142,CUST065397,HOME,9108512.71,14.46,24,ACTIVE
LN004143,CUST027831,HOME,7781666.52,7.22,36,DEFAULT
LN004144,CUST099698,EDUCATION,6118879.95,10.6,24,CLOSED
LN004145,CUST049340,AUTO,9342866.66,8.29,24,DEFAULT
LN004146,CUST053396,PERSONAL,5594494.58,12.04,24,DEFAULT
LN004147,CUST010044,PERSONAL,8331304.3,8.83,24,ACTIVE
LN004148,CUST087545,HOME,8155210.46,9.55,12,ACTIVE
LN004149,CUST028409,PERSONAL,5932133.13,14.91,24,DEFAULT
LN004150,CUST074573,EDUCATION,841665.56,8.33,120,DEFAULT
LN004151,CUST063566,HOME,4877854.58,14.57,60,DEFAULT
LN004152,CUST028403,PERSONAL,105336.2,13.08,120,ACTIVE
LN004153,CUST094985,HOME,4742929.39,13.37,12,DEFAULT
LN004154,CUST039884,EDUCATION,2928516.74,9.34,12,CLOSED
LN004155,CUST016223,AUTO,507957.47,12.68,36,CLOSED
LN004156,CUST009624,HOME,1835550.48,13.04,24,ACTIVE
LN004157,CUST045187,PERSONAL,5557659.37,9.79,12,DEFAULT
LN004158,CUST046493,PERSONAL,2610202.44,11.2,120,CLOSED
LN004159,CUST080051,PERSONAL,7417002.42,12.94,24,ACTIVE
LN004160,CUST042503,HOME,9080235.67,11.48,240,CLOSED
LN004161,CUST075556,EDUCATION,5828725.25,13.91,24,ACTIVE
LN004162,CUST071014,EDUCATION,7136690.48,12.01,240,ACTIVE
LN004163,CUST015632,AUTO,6485029.12,9.07,120,DEFAULT
LN004164,CUST093862,EDUCATION,3993479.55,9.9,36,DEFAULT
LN004165,CUST023686,HOME,9001845.64,10.69,120,CLOSED
LN004166,CUST084382,EDUCATION,7787421.84,7.1,60,DEFAULT
LN004167,CUST061031,AUTO,6804651.05,12.44,120,ACTIVE
LN004168,CUST047605,EDUCATION,4689255.97,14.62,240,CLOSED
LN004169,CUST096244,PERSONAL,559453.8,14.48,240,CLOSED
LN004170,CUST072959,HOME,5891701.25,12.28,240,DEFAULT
LN004171,CUST026740,HOME,1610095.46,14.85,60,ACTIVE
LN004172,CUST095205,HOME,7659471.78,10.43,36,ACTIVE
LN004173,CUST002500,HOME,2570504.32,10.41,36,CLOSED
LN004174,CUST035460,HOME,5171899.49,7.6,120,CLOSED
LN004175,CUST016175,AUTO,9630527.07,9.17,36,CLOSED
LN004176,CUST017790,PERSONAL,2307129.42,11.82,120,CLOSED
LN004177,CUST015846,HOME,5323433.8,8.03,36,CLOSED
LN004178,CUST032900,HOME,9759625.91,12.62,120,DEFAULT
LN004179,CUST008271,EDUCATION,6559489.47,13.67,24,DEFAULT
LN004180,CUST060462,HOME,4239078.12,8.41,12,ACTIVE
LN004181,CUST005039,AUTO,1196411.67,10.7,24,DEFAULT
LN004182,CUST009869,EDUCATION,2988446.22,7.38,12,ACTIVE
LN004183,CUST097305,PERSONAL,8383654.03,14.11,12,CLOSED
LN004184,CUST014815,EDUCATION,5897762.8,9.29,240,DEFAULT
LN004185,CUST058556,HOME,9567607.79,7.84,24,ACTIVE
LN004186,CUST062236,EDUCATION,8851892.16,10.18,60,CLOSED
LN004187,CUST029980,AUTO,7296537.37,11.36,36,CLOSED
LN004188,CUST015998,EDUCATION,9330111.93,8.64,120,DEFAULT
LN004189,CUST055823,PERSONAL,6584063.86,12.46,12,ACTIVE
LN004190,CUST079870,HOME,6821911.34,13.75,24,ACTIVE
LN004191,CUST065334,AUTO,6337365.24,9.97,36,ACTIVE
LN004192,CUST024680,HOME,4065728.24,12.2,12,CLOSED
LN004193,CUST001134,EDUCATION,4572207.1,8.59,120,ACTIVE
LN004194,CUST008503,EDUCATION,7196465.35,12.75,12,ACTIVE
LN004195,CUST074720,EDUCATION,2754577.9,14.93,60,DEFAULT
LN004196,CUST077066,AUTO,8415734.99,7.58,24,CLOSED
LN004197,CUST011366,EDUCATION,2609728.77,12.78,36,DEFAULT
LN004198,CUST066790,EDUCATION,1355757.22,14.83,12,CLOSED
LN004199,CUST089722,PERSONAL,9425897.69,10.72,12,CLOSED
LN004200,CUST014981,AUTO,5615040.89,7.53,240,ACTIVE
LN004201,CUST009475,EDUCATION,52583.63,13.89,24,CLOSED
LN004202,CUST019019,EDUCATION,4265282.24,11.19,60,DEFAULT
LN004203,CUST047738,AUTO,4297414.17,13.04,36,CLOSED
LN004204,CUST071973,HOME,337698.53,13.98,24,ACTIVE
LN004205,CUST043748,EDUCATION,4875120.46,13.8,60,DEFAULT
LN004206,CUST027194,AUTO,3594571.36,14.33,120,ACTIVE
LN004207,CUST072403,EDUCATION,5136921.2,14.3,240,DEFAULT
LN004208,CUST013173,AUTO,9777261.58,10.8,24,CLOSED
LN004209,CUST036065,HOME,5056038.66,14.6,60,CLOSED
LN004210,CUST025307,PERSONAL,8652990.88,10.53,240,CLOSED
LN004211,CUST078105,PERSONAL,8010579.19,14.08,36,DEFAULT
LN004212,CUST076308,AUTO,1809506.37,12.6,12,DEFAULT
LN004213,CUST094450,AUTO,3693097.13,13.36,240,CLOSED
LN004214,CUST023886,EDUCATION,8700806.22,14.46,12,CLOSED
LN004215,CUST082741,PERSONAL,2288415.51,13.49,240,CLOSED
LN004216,CUST078044,PERSONAL,9594191.63,12.76,240,DEFAULT
LN004217,CUST078955,AUTO,5454570.23,14.15,240,CLOSED
LN004218,CUST059602,AUTO,7281907.05,7.26,60,DEFAULT
LN004219,CUST045457,EDUCATION,9690389.48,7.78,240,DEFAULT
LN004220,CUST077869,EDUCATION,7715681.72,14.71,60,DEFAULT
LN004221,CUST018650,HOME,8212160.0,9.68,36,ACTIVE
LN004222,CUST092788,AUTO,4814339.68,8.03,60,ACTIVE
LN004223,CUST024511,AUTO,4346362.33,8.12,120,CLOSED
LN004224,CUST003159,EDUCATION,8347184.73,14.97,12,DEFAULT
LN004225,CUST099736,HOME,7056227.76,10.03,60,ACTIVE
LN004226,CUST012643,EDUCATION,8382959.02,9.75,12,ACTIVE
LN004227,CUST014688,EDUCATION,4655563.52,8.56,240,CLOSED
LN004228,CUST070337,PERSONAL,4249504.62,9.6,120,DEFAULT
LN004229,CUST000761,PERSONAL,7134261.6,12.79,60,CLOSED
LN004230,CUST017869,EDUCATION,3131225.59,11.57,24,CLOSED
LN004231,CUST014929,PERSONAL,6243104.16,14.3,12,DEFAULT
LN004232,CUST069948,AUTO,4390283.2,13.45,60,DEFAULT
LN004233,CUST039335,AUTO,8996219.88,13.18,120,ACTIVE
LN004234,CUST019068,AUTO,9958544.18,9.14,24,ACTIVE
LN004235,CUST036265,HOME,2305146.36,11.41,60,DEFAULT
LN004236,CUST058482,EDUCATION,4454098.29,12.32,24,ACTIVE
LN004237,CUST071042,EDUCATION,2837995.79,8.76,12,DEFAULT
LN004238,CUST011442,PERSONAL,1210481.97,12.31,240,CLOSED
LN004239,CUST050281,HOME,6922053.7,13.19,36,ACTIVE
LN004240,CUST004863,PERSONAL,8036766.66,7.32,60,ACTIVE
LN004241,CUST012086,PERSONAL,8089989.6,9.48,60,CLOSED
LN004242,CUST085611,AUTO,3803649.43,13.71,60,DEFAULT
LN004243,CUST019597,EDUCATION,7778820.22,13.74,12,DEFAULT
